Пор.No,Арт.No,Име,Прод.цена
111,5075,B-ti Hoppo Ozmo shokoladov krem 40g/12br,0.5
112,5076,B-ti Jambi qgoda Sweet+ 170gr/24br,1.1
113,5077,B-ti Jiten dar obiknoveni Nestle 120g/24br,0.45
114,5078,B-ti Jiten dar obiknoveni Nestle 230gr/16br,0.74
115,5079,B-ti Jiten dar petit beurre Nestle 130gr/24br,0.48
116,5080,B-ti Jiten dar petit beurre Nestle  230gr/16br,0.84
117,5081,B-ti Kafe choco pause Sweet+ 160gr,0.92
118,5082,B-ti Kafe ekspres slepeni 176gr/12br,0.97
119,5083,B-ti Kakao+Mlqko choco pause Sweet+ 150gr,0.92
120,5084,B-ti kakaovi Qna 250gr zaharni izdeliq Varna,1.29
121,5085,B-ti Kameliq krem menta 150g Sweet+,1.02
122,5086,B-ti Kameliq krem qgoda 150gr Sweet+,1.01
123,5087,Biskviti Kreker Kroko miks 250gr/15br,0.66
124,5088,B-ti Latino leshnik Sweet+ 170gr/24br,1.05
125,5089,B-ti Lider orehovi purichki 160gr/24br,1.1
126,5090,B-ti Lubimi pasticheriq 132gr/24br Prestij,1.11
127,5091,B-ti Lubimi s kakao 132gr/24br Prestij,1.11
128,5092,B-ti Lubimi s leshnik 132gr/24br,1.11
129,5093,B-ti Maslenki Sweet+ 140gr,0.97
130,5094,B-ti Miraj borovinka box 24br,0.27
131,5096,B-ti Miraj kaisiq 240gr/32br,1.07
132,5097,B-ti Miraj Kapina Prestij 240gr/32br,1.07
133,5098,B-ti Miraj qgoda box 24br,0.27
134,5099,B-ti Miraj qgoda i borovinka box ,0.27
135,5100,B-ti Miraj qgoda maksi 336gr/20br,1.37
136,5101,B-ti Miraj Sliva Prestij 240gr/32br,1.07
137,5102,B-ti Miraj Smokinq Prestij 240gr/32br,1.07
138,5103,B-ti Miraj Qgoda Prestij 240gr/32br,1.07
139,5104,B-ti Miraj Qgoda max 336gr/20br,1.37
140,5105,B-ti Navona kakao Pobeda 100g/35br,0.94
141,5106,B-ti My story Sweet+ 165gr,0.97
142,5107,B-ti Navona kapuchino 100gr/35br,0.93
143,5108,B-ti Navona klasik  Pobeda 100g/40br,0.94
144,5110,B-ti Negrita Sweet+ 160gr,0.97
145,5111,B-ti Nezabravima Medovina 200gr/9br,0.8
146,5112,B-ti Obiknoveni Izgrev Pobeda 120gr/48br,0.43
147,5113,B-ti Obiknoveni Izgrev Pobeda 190gr/36br,0.57
